Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,Georgia,Illinois,NorthCarolina,SouthCarolina
21,"Child, Family, and School Social Workers",3.88,1.88,1.75,3.12,3.88,1.12,2.12,2.62,4.38,4.62,2.62,2,3,1.75,1.88,2.25,4.12,4.12,2,2,3,3,2,2,1,56970,69430,59010,49360
21,Clergy,4,1,1,3.88,4,1.25,1.75,3.12,4.12,4.75,2.5,1,3.38,1,1,2,4,4,2,2,3,3,2,2,1,67720,58150,60370,61100
21,Community Health Workers,3.62,1.88,1,2.88,3.5,2.38,2.38,2.5,4.25,4.12,2.38,2.12,2.88,2.12,2.12,2.5,3.88,3.75,2,2,3,3,2,2,1,51850,49880,50160,49970
21,"Directors, Religious Activities and Education",3.75,1.25,1.25,3.38,3.38,1,2.62,2.88,3.88,4,2.25,1,3,1.25,1.25,2.5,4,4,2,2,3,3,2,2,1,77480,59340,87070,56290
21,"Educational, Guidance, and Career Counselors and Advisors",3.75,1,1,3.62,3.75,1.25,2.62,2.62,4.25,4.25,2.62,1.25,3.12,1.12,1,2.38,4,4,2,2,3,3,2,2,1,70130,69870,56920,59780
21,Health Education Specialists,3.62,1.38,1.25,3.38,3.88,2,2.12,2.12,4,4.25,2.12,1.25,3,1.62,2,2.12,4,4,2,2,3,3,2,2,1,99960,72000,66320,66990
21,Healthcare Social Workers,4,1.25,1.75,3.75,3.88,1.5,2,2.88,4,4.12,2.5,1.88,3,1.88,1.62,2,4,3.88,2,2,3,3,2,2,1,65040,67130,65690,66000
21,Marriage and Family Therapists,4,1,1.38,3.62,4,1.12,2,2.88,4.25,4.25,2.75,1.38,3.12,1.12,1.38,2,4,4,2,2,3,3,2,2,1,67960,66640,60540,51940
21,Mental Health and Substance Abuse Social Workers,4,1.12,1.88,3.88,4,1.12,2.5,2.75,4.5,4.25,2.75,1.88,3.12,1.62,1.88,2,4.12,4.12,2,2,3,3,2,2,1,54000,61600,58300,44380
21,Mental Health Counselors,4,1.12,1.75,3.75,4,1.38,2.25,2.75,4.62,4.5,2.25,1.62,3.38,1.5,1.62,2.12,4.12,4.12,2,2,3,3,2,1,1, , , , 
21,Probation Officers and Correctional Treatment Specialists,4,1.38,2.12,2.88,3.88,2,2,2.12,3.88,4.12,2.12,2.12,3,2,2.12,2,4,3.75,2,2,3,3,2,2,1,54840,77290,58150,61540
21,Rehabilitation Counselors,3.88,1.25,1.38,3.12,3.75,1.12,2.12,2.12,4,4,2.38,1.38,2.62,1.38,1.38,2,3.88,3.88,2,2,3,3,2,2,1,50490,52440,47300,45490
21,Social and Human Service Assistants,3.88,1.88,1.75,3.25,3.25,1.5,2,2.75,3.88,4,2.75,1.5,3,1.88,1.88,2.12,3.88,3.88,2,2,3,3,2,1,1,38230,49600,42460,41390
21,Substance Abuse and Behavioral Disorder Counselors,4,1.5,2,3.38,4,1.25,2,2.62,4,4.12,2.25,2,3.12,1.88,2,2.5,4,4,2,2,3,3,2,1,1, , , , 
23,"Administrative Law Judges, Adjudicators, and Hearing Officers",4.12,1.12,1,2.88,4.25,1.75,2.25,2.62,4.25,4,2.62,1,3.12,1,1,1.75,4.25,4.12,2,2,3,2,2,2,1,94810,103240,117070,107390
23,"Arbitrators, Mediators, and Conciliators",4,1,1,3.12,4,1,2.12,2,4.12,4.12,2,1,3.25,1,1,2,4.25,4.25,2,2,3,3,2,1,1, ,99370,74000,59270
