participant_id,age,gender,grade,art_experience,emotion_label,well_being_score,engagement_score,stress_level,creativity_score,hours_art_weekly,preferred_art_medium,session_duration_minutes
0001,14,M,12,High,Sadness,2.5,2.8,4.4,1.5,3.3,Watercolor,30
0002,18,M,12,High,Frustration,3.1,1.6,4.0,4.2,9.6,Watercolor,84
0003,14,F,9,Low,Happiness,4.2,4.2,3.8,2.8,3.1,Digital,36
0004,14,F,10,Low,Excitement,4.4,4.8,5.0,2.8,8.7,Watercolor,54
0005,15,M,9,High,Sadness,1.7,1.4,1.7,2.7,7.4,Pencil,114
0006,16,M,10,High,Sadness,2.0,3.3,1.0,4.9,2.3,Pencil,33
0007,16,F,9,Medium,Calm,1.1,2.6,2.5,4.9,4.0,Digital,87
0008,14,F,10,Medium,Happiness,3.2,3.1,4.5,1.3,2.9,Pencil,76
0009,17,F,9,Low,Happiness,3.5,3.2,2.4,4.4,7.9,Mixed,76
0010,16,F,11,Low,Frustration,1.5,1.2,4.9,2.0,8.8,Digital,100
0011,17,F,10,Low,Sadness,3.6,4.6,4.3,1.6,7.9,Mixed,50
0012,15,M,12,High,Sadness,2.4,1.5,2.8,3.7,7.6,Pencil,57
0013,15,F,11,Low,Sadness,3.6,2.3,4.9,4.4,1.5,Digital,81
0014,14,M,10,Low,Happiness,2.7,1.1,4.7,3.6,0.7,Watercolor,114
0015,16,F,9,High,Excitement,1.8,3.3,2.3,1.4,4.9,Pencil,83
0016,18,F,11,Medium,Excitement,2.6,1.2,4.2,4.7,5.8,Digital,57
0017,16,M,12,High,Calm,2.1,2.9,3.7,2.7,0.8,Pencil,51
0018,14,M,9,Medium,Sadness,3.1,1.9,2.3,1.6,1.3,Digital,76
0019,17,F,12,High,Calm,4.5,1.2,3.5,3.1,1.6,Pencil,73
0020,14,M,11,Medium,Anxiety,2.6,2.1,1.4,3.1,4.9,Pencil,34
0021,17,F,11,Low,Happiness,4.8,1.5,3.5,1.3,5.3,Mixed,44
0022,17,F,10,Low,Frustration,3.6,2.8,2.9,1.1,10.0,Watercolor,72
0023,18,M,11,High,Happiness,4.2,4.1,2.7,1.3,4.8,Mixed,73
0024,17,M,12,Low,Happiness,4.4,3.9,4.8,2.1,1.3,Mixed,74
0025,18,M,11,Low,Anxiety,4.2,2.3,4.4,2.3,2.7,Watercolor,118
0026,17,M,9,Medium,Frustration,2.4,3.2,4.6,3.3,7.8,Pencil,57
0027,15,F,12,Medium,Anxiety,4.0,1.5,3.1,4.1,0.3,Watercolor,80
0028,18,M,11,Low,Excitement,3.8,2.2,3.4,1.4,4.6,Watercolor,35
0029,16,F,10,High,Sadness,4.8,4.7,1.9,3.0,4.4,Digital,103
0030,14,M,12,High,Sadness,2.2,2.9,1.3,2.5,7.7,Mixed,63
0031,16,M,12,Low,Excitement,1.1,1.0,3.9,3.6,6.1,Watercolor,42
0032,15,M,10,High,Sadness,4.5,4.3,1.3,1.7,4.8,Digital,91
0033,15,F,11,Medium,Happiness,1.4,3.5,2.6,1.6,5.2,Digital,57
0034,17,M,9,High,Anxiety,1.6,2.4,4.9,3.8,4.8,Watercolor,95
0035,15,F,10,Medium,Anxiety,3.2,2.2,4.5,4.4,8.3,Watercolor,60
0036,15,M,11,High,Frustration,3.1,1.5,3.9,2.8,10.0,Watercolor,116
0037,17,F,11,Medium,Calm,2.3,2.6,3.4,2.3,5.0,Mixed,32
0038,15,F,12,Medium,Excitement,3.8,3.3,4.4,1.5,8.5,Mixed,78
0039,18,M,11,Medium,Excitement,4.5,1.2,4.9,4.5,6.4,Digital,102
0040,17,F,11,Low,Excitement,3.7,4.8,1.2,3.7,5.7,Pencil,111
0041,16,M,12,Low,Happiness,3.2,3.4,2.4,4.1,5.5,Watercolor,88
0042,18,F,11,High,Excitement,4.1,4.1,2.6,4.3,5.3,Watercolor,65
0043,18,M,11,High,Calm,2.5,2.5,3.5,3.6,9.2,Digital,78
0044,17,F,9,High,Frustration,2.8,4.3,2.9,4.9,9.1,Digital,100
0045,17,M,12,Low,Sadness,2.8,3.5,3.0,1.2,6.7,Pencil,62
0046,16,M,9,Medium,Happiness,4.2,3.0,1.1,1.3,9.3,Pencil,34
0047,15,M,11,High,Excitement,3.9,1.8,4.4,4.4,4.6,Digital,69
0048,14,M,11,High,Frustration,4.6,3.8,4.3,1.7,2.4,Watercolor,100
0049,16,M,9,High,Sadness,1.7,2.2,1.9,4.2,6.3,Mixed,110
0050,15,F,10,Low,Happiness,2.5,1.2,3.7,3.9,5.9,Watercolor,63
0051,17,F,9,Low,Calm,3.7,2.4,4.4,2.0,5.9,Watercolor,95
0052,16,M,9,High,Happiness,3.3,2.2,2.6,3.6,3.3,Watercolor,52
0053,16,F,9,Medium,Calm,2.9,3.3,1.4,3.3,8.9,Watercolor,87
0054,15,F,11,Medium,Frustration,5.0,4.3,4.1,4.8,7.9,Pencil,41
0055,15,M,12,High,Sadness,3.8,2.7,1.4,2.2,1.4,Pencil,89
0056,17,F,11,Low,Sadness,3.1,3.4,4.5,1.3,8.9,Digital,51
0057,14,F,12,High,Excitement,3.1,2.3,4.5,1.3,3.1,Mixed,66
0058,14,F,10,High,Anxiety,5.0,3.2,3.5,2.3,8.1,Pencil,38
0059,14,F,9,Medium,Anxiety,2.2,3.7,2.3,2.2,0.6,Watercolor,33
0060,15,M,10,Medium,Excitement,4.1,2.3,2.0,3.5,9.7,Mixed,74
0061,16,F,9,Low,Sadness,2.3,3.9,1.1,1.4,8.3,Digital,33
0062,16,M,9,Medium,Happiness,4.3,2.1,1.7,3.5,3.4,Watercolor,45
0063,16,F,9,Low,Frustration,1.4,1.5,1.9,2.6,2.2,Digital,64
0064,17,M,12,High,Excitement,1.9,4.9,4.0,2.0,0.4,Watercolor,50
0065,18,F,9,Medium,Happiness,2.3,4.1,4.6,2.9,7.2,Watercolor,113
0066,16,M,9,High,Calm,3.9,1.3,3.5,1.4,1.6,Watercolor,35
0067,15,M,10,High,Happiness,1.0,4.6,4.2,3.0,1.2,Digital,45
0068,18,F,9,Medium,Excitement,5.0,1.6,3.0,4.5,9.7,Mixed,66
0069,18,M,11,High,Happiness,4.2,4.4,2.2,4.2,0.6,Pencil,67
0070,18,M,11,Medium,Anxiety,1.3,1.6,3.7,1.0,1.7,Pencil,85
0071,14,F,12,Low,Sadness,5.0,2.6,4.5,3.0,8.1,Watercolor,98
0072,17,F,11,Medium,Excitement,5.0,1.0,2.5,1.8,6.4,Watercolor,108
0073,14,F,11,High,Calm,2.4,3.3,1.3,3.2,8.3,Watercolor,92
0074,15,M,10,Medium,Sadness,3.0,2.7,1.5,2.3,2.9,Watercolor,56
0075,18,F,10,Medium,Sadness,2.6,4.4,3.7,3.4,4.8,Mixed,80
0076,16,F,12,Low,Frustration,1.9,2.4,1.5,3.3,1.3,Pencil,78
0077,14,F,12,Low,Anxiety,1.7,4.8,3.0,4.7,5.2,Digital,39
0078,15,F,12,High,Excitement,2.9,3.3,2.0,3.8,0.5,Pencil,110
0079,15,F,9,Medium,Calm,3.5,2.6,2.5,3.5,4.3,Mixed,43
0080,14,F,10,Low,Happiness,1.4,1.1,3.9,1.5,0.6,Mixed,96
0081,15,F,9,High,Frustration,2.7,4.0,1.8,1.8,9.3,Mixed,69
0082,17,F,11,Medium,Calm,1.2,4.4,3.1,2.9,2.7,Mixed,50
0083,15,F,9,Low,Happiness,4.2,2.4,1.5,3.1,4.2,Mixed,118
0084,15,M,12,Low,Calm,4.6,2.5,3.2,4.6,1.2,Mixed,54
0085,18,M,11,Low,Anxiety,2.4,2.0,1.9,1.8,7.3,Pencil,79
0086,17,F,10,Low,Excitement,1.7,3.2,2.6,1.6,5.0,Mixed,84
0087,17,M,12,Low,Happiness,4.9,2.5,4.5,3.9,0.5,Watercolor,101
0088,16,M,9,High,Happiness,1.1,3.9,3.7,4.6,8.8,Pencil,65
0089,14,M,9,Medium,Happiness,4.8,2.7,4.3,2.6,1.6,Mixed,95
0090,16,F,9,Medium,Anxiety,2.0,4.5,3.0,3.6,2.0,Pencil,59
0091,17,F,11,Medium,Calm,2.3,3.3,4.6,2.7,7.7,Watercolor,81
0092,14,M,9,Medium,Excitement,3.8,4.7,1.3,2.6,0.9,Watercolor,64
0093,17,M,9,Low,Sadness,4.0,3.5,3.1,4.4,5.3,Pencil,104
0094,17,F,10,Medium,Frustration,1.4,4.1,2.8,2.3,6.2,Pencil,92
0095,16,F,9,Low,Excitement,2.6,2.3,2.1,4.6,8.8,Pencil,102
0096,15,M,11,High,Anxiety,2.3,2.9,4.1,5.0,6.4,Digital,70
0097,14,F,9,High,Frustration,3.3,3.4,1.1,3.2,5.2,Mixed,105
0098,15,M,10,Low,Frustration,3.9,3.0,2.7,2.0,6.1,Pencil,94
0099,16,F,11,Medium,Frustration,1.2,3.0,4.2,4.0,4.7,Digital,117
0100,18,M,12,Medium,Anxiety,4.1,2.9,2.6,1.4,7.3,Watercolor,35
0101,14,M,9,Medium,Excitement,2.4,5.0,2.4,3.4,2.4,Watercolor,83
0102,18,M,10,High,Frustration,3.1,2.8,2.0,2.2,9.5,Pencil,112
0103,18,M,11,Medium,Anxiety,3.4,1.6,3.1,4.8,3.7,Mixed,60
0104,17,F,10,High,Anxiety,2.1,4.3,2.0,2.5,6.0,Pencil,65
0105,14,F,10,Low,Calm,2.4,4.0,4.8,1.9,8.3,Digital,57
0106,16,M,9,Medium,Calm,3.0,3.4,4.9,2.8,6.1,Pencil,116
0107,14,M,11,Low,Excitement,4.5,4.2,1.6,4.8,2.7,Watercolor,81
0108,15,F,9,Low,Sadness,1.3,3.9,4.1,3.6,4.0,Digital,52
0109,17,M,9,Medium,Sadness,1.3,4.8,4.6,4.8,7.6,Pencil,34
0110,16,M,10,Low,Frustration,2.5,2.4,2.4,2.1,6.8,Digital,73
0111,17,M,12,High,Happiness,2.6,3.4,1.4,3.3,2.4,Mixed,66
0112,18,M,12,Medium,Anxiety,1.7,3.0,2.0,2.8,3.3,Watercolor,99
0113,17,F,11,Medium,Sadness,3.5,3.1,4.7,3.8,3.1,Mixed,80
0114,16,F,12,Medium,Calm,1.8,1.0,3.8,1.4,8.5,Watercolor,117
0115,15,M,10,Low,Happiness,4.9,3.5,1.3,3.9,4.5,Watercolor,118
0116,16,M,9,Medium,Anxiety,1.5,3.0,4.9,2.6,4.8,Digital,57
0117,17,F,11,Medium,Frustration,4.9,3.2,4.6,1.9,2.0,Watercolor,110
0118,16,F,9,Medium,Happiness,3.3,5.0,2.7,1.5,8.5,Digital,37
0119,17,F,9,Medium,Calm,4.0,4.8,3.8,3.1,7.0,Digital,104
0120,16,F,9,High,Excitement,4.2,3.3,3.4,2.7,5.1,Digital,95
0121,14,F,9,Low,Sadness,1.9,2.1,1.4,1.3,6.8,Pencil,75
0122,14,M,11,Low,Sadness,3.5,4.2,3.6,4.6,0.8,Watercolor,107
0123,18,F,12,Medium,Sadness,2.1,3.8,2.6,3.6,8.9,Watercolor,74
0124,17,M,10,Low,Calm,2.6,3.7,3.7,3.5,1.6,Pencil,100
0125,17,M,11,Medium,Anxiety,4.6,2.0,4.5,1.5,9.5,Watercolor,118
0126,16,M,9,High,Anxiety,2.1,1.5,4.3,1.4,7.4,Digital,89
0127,16,F,12,High,Frustration,2.8,3.6,1.5,4.4,8.4,Pencil,115
0128,17,M,12,Medium,Happiness,4.5,2.1,1.0,2.6,7.6,Pencil,72
0129,17,M,11,High,Sadness,4.0,4.3,3.4,4.1,3.0,Watercolor,71
0130,16,F,9,Medium,Sadness,4.2,1.7,3.1,3.1,0.5,Pencil,39
0131,16,F,9,Medium,Anxiety,3.9,3.3,4.7,1.7,4.6,Digital,49
0132,17,M,11,Low,Happiness,3.1,3.6,3.2,4.6,4.5,Pencil,81
0133,14,F,9,Low,Happiness,4.9,4.8,2.0,4.4,0.1,Digital,95
0134,15,M,11,Medium,Excitement,2.3,3.2,1.6,2.6,4.6,Digital,104
0135,17,F,9,High,Excitement,2.6,2.6,1.8,4.3,5.6,Pencil,115
0136,14,M,11,Low,Anxiety,4.4,4.4,2.1,2.8,3.1,Mixed,101
